Area,BHK,Bathroom,Parking,Price,Furnishing_Semi-Furnished,Furnishing_Unfurnished,District_ East Delhi,District_ North West Delhi,District_ Shahdara,District_ South Delhi,District_ South East Delhi,District_ West Delhi,District_South West Delhi ,Status_Ready_to_move,Transaction_Resale,Type_Builder_Floor
450.0,2.0,1.0,1.0,3600000.0,0,1,0,1,0,0,0,0,0,1,1,1
450.0,2.0,2.0,1.0,3800000.0,1,0,0,1,0,0,0,0,0,1,0,1
450.0,2.0,2.0,1.0,4000000.0,0,0,0,1,0,0,0,0,0,1,1,1
452.0,2.0,1.0,1.0,3000000.0,0,0,0,1,0,0,0,0,0,1,1,0
495.0,2.0,2.0,1.0,1750000.0,0,1,0,1,0,0,0,0,0,1,1,1
500.0,1.0,1.0,1.0,3400000.0,1,0,0,1,0,0,0,0,0,1,1,0
500.0,1.0,1.0,1.0,1800000.0,0,1,0,1,0,0,0,0,0,1,1,0
500.0,2.0,1.0,1.0,2000000.0,1,0,0,1,0,0,0,0,0,1,1,1
500.0,2.0,2.0,1.0,1650000.0,1,0,0,1,0,0,0,0,0,1,1,0
550.0,2.0,2.0,1.0,3500000.0,1,0,0,1,0,0,0,0,0,1,0,0
550.0,2.0,2.0,1.0,4500000.0,1,0,0,1,0,0,0,0,0,1,0,1
560.0,2.0,2.0,3.0,2850000.0,0,0,0,1,0,0,0,0,0,1,1,0
585.0,2.0,2.0,1.0,1900000.0,0,1,0,1,0,0,0,0,0,1,1,1
600.0,2.0,2.0,1.0,4200000.0,1,0,0,1,0,0,0,0,0,1,1,1
630.0,2.0,2.0,1.0,4100000.0,1,0,0,1,0,0,0,0,0,1,0,0
630.0,2.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,1
650.0,2.0,2.0,1.0,4000000.0,1,0,0,1,0,0,0,0,0,1,0,0
650.0,2.0,2.0,1.0,6200000.0,1,0,0,1,0,0,0,0,0,1,0,1
650.0,2.0,2.0,1.0,6000000.0,1,0,0,1,0,0,0,0,0,1,1,1
660.0,2.0,2.0,1.0,4700000.0,1,0,0,1,0,0,0,0,0,1,0,1
660.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,1,1
666.0,1.0,2.0,1.0,3500000.0,0,0,0,1,0,0,0,0,0,1,1,1
680.0,2.0,2.0,1.0,4400000.0,1,0,0,1,0,0,0,0,0,1,0,0
700.0,3.0,2.0,1.0,4700000.0,1,0,0,1,0,0,0,0,0,1,0,0
720.0,2.0,2.0,1.0,4700000.0,1,0,0,1,0,0,0,0,0,1,0,0
720.0,3.0,2.0,1.0,6500000.0,1,0,0,1,0,0,0,0,0,1,0,1
720.0,3.0,2.0,1.0,6000000.0,1,0,0,1,0,0,0,0,0,1,0,1
729.0,3.0,4.0,1.0,2600000.0,0,0,0,1,0,0,0,0,0,1,1,1
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
750.0,2.0,2.0,1.0,5000000.0,1,0,0,1,0,0,0,0,0,1,0,0
800.0,2.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,0
800.0,3.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,0
800.0,3.0,2.0,1.0,5500000.0,1,0,0,1,0,0,0,0,0,1,0,1
800.0,3.0,2.0,1.0,6500000.0,1,0,0,1,0,0,0,0,0,1,0,1
800.0,3.0,2.0,1.0,7000000.0,1,0,0,1,0,0,0,0,0,1,1,1
810.0,3.0,2.0,1.0,4500000.0,1,0,0,1,0,0,0,0,0,1,1,1
850.0,2.0,2.0,1.0,11000000.0,1,0,0,1,0,0,0,0,0,1,1,0
850.0,3.0,2.0,1.0,7000000.0,1,0,0,1,0,0,0,0,0,1,0,1
850.0,3.0,2.0,1.0,6500000.0,1,0,0,1,0,0,0,0,0,1,0,1
850.0,3.0,2.0,1.0,7300000.0,1,0,0,1,0,0,0,0,0,1,0,1
870.0,3.0,2.0,1.0,7700000.0,1,0,0,1,0,0,0,0,0,1,0,1
900.0,2.0,1.0,1.0,11000000.0,0,0,0,1,0,0,0,0,0,1,1,0
900.0,2.0,2.0,2.0,3800000.0,1,0,0,1,0,0,0,0,0,1,1,0
900.0,2.0,2.0,1.0,10500000.0,1,0,0,1,0,0,0,0,0,1,1,0
900.0,2.0,2.0,1.0,4600000.0,0,1,0,1,0,0,0,0,0,1,1,0
900.0,3.0,2.0,1.0,4000000.0,1,0,0,1,0,0,0,0,0,1,1,1
900.0,3.0,2.0,4.0,4500000.0,1,0,0,1,0,0,0,0,0,1,1,1
915.0,2.0,2.0,1.0,12000000.0,1,0,0,1,0,0,0,0,0,1,1,1
950.0,2.0,2.0,1.0,15500000.0,0,0,0,1,0,0,0,0,0,1,1,0
950.0,3.0,2.0,1.0,7600000.0,1,0,0,1,0,0,0,0,0,1,0,1
980.0,3.0,2.0,1.0,7300000.0,1,0,0,1,0,0,0,0,0,1,0,0
985.0,3.0,3.0,1.0,6800000.0,0,1,0,1,0,0,0,0,0,0,0,1
990.0,3.0,2.0,1.0,5000000.0,0,0,0,1,0,0,0,0,0,1,1,1
1000.0,2.0,2.0,1.0,7600000.0,1,0,0,1,0,0,0,0,0,1,1,0
1030.0,3.0,2.0,1.0,6200000.0,0,0,0,1,0,0,0,0,0,1,0,1
1100.0,3.0,2.0,1.0,6200000.0,1,0,0,1,0,0,0,0,0,1,0,1
1100.0,3.0,2.0,1.0,6200000.0,1,0,0,1,0,0,0,0,0,1,0,1
1100.0,3.0,3.0,1.0,7000000.0,0,0,0,1,0,0,0,0,0,1,0,1
1100.0,4.0,3.0,1.0,17000000.0,1,0,0,1,0,0,0,0,0,1,0,1
1150.0,3.0,2.0,1.0,10000000.0,1,0,0,1,0,0,0,0,0,1,0,1
1150.0,3.0,3.0,1.0,25000000.0,1,0,0,1,0,0,0,0,0,1,1,0
1295.0,3.0,2.0,1.0,10000000.0,1,0,0,1,0,0,0,0,0,1,0,0
1300.0,4.0,3.0,1.0,15500000.0,1,0,0,1,0,0,0,0,0,1,0,1
1300.0,4.0,4.0,1.0,15000000.0,1,0,0,1,0,0,0,0,0,1,0,1
1300.0,4.0,4.0,1.0,15000000.0,1,0,0,1,0,0,0,0,0,1,0,1
1350.0,4.0,3.0,1.0,10000000.0,1,0,0,1,0,0,0,0,0,1,1,1
1360.0,4.0,3.0,1.0,13500000.0,1,0,0,1,0,0,0,0,0,1,0,1
1450.0,3.0,3.0,1.0,11500000.0,1,0,0,1,0,0,0,0,0,1,0,0
1500.0,3.0,2.0,1.0,12000000.0,1,0,0,1,0,0,0,0,0,1,0,0
1550.0,4.0,3.0,1.0,12500000.0,1,0,0,1,0,0,0,0,0,1,0,1
1550.0,4.0,3.0,1.0,13000000.0,1,0,0,1,0,0,0,0,0,1,0,1
1550.0,4.0,3.0,1.0,13000000.0,1,0,0,1,0,0,0,0,0,1,0,1
1600.0,4.0,3.0,1.0,13000000.0,1,0,0,1,0,0,0,0,0,1,0,0
1600.0,3.0,3.0,1.0,13500000.0,1,0,0,1,0,0,0,0,0,1,0,0
2077.0,1.0,1.0,1.0,1000000.0,0,1,0,1,0,0,0,0,0,1,1,1
2160.0,4.0,4.0,1.0,21000000.0,0,0,0,1,0,0,0,0,0,1,0,1
2170.0,4.0,4.0,2.0,22000000.0,0,1,0,1,0,0,0,0,0,1,0,1
2200.0,4.0,4.0,1.0,23000000.0,1,0,0,1,0,0,0,0,0,1,0,1
2300.0,4.0,4.0,1.0,24500000.0,1,0,0,1,0,0,0,0,0,1,0,1
2300.0,4.0,4.0,1.0,20000000.0,1,0,0,1,0,0,0,0,0,1,0,1
2400.0,6.0,4.0,1.0,6000000.0,0,0,0,1,0,0,0,0,0,1,1,1
2500.0,4.0,3.0,1.0,15000000.0,1,0,0,1,0,0,0,0,0,1,0,0
2800.0,5.0,4.0,1.0,17500000.0,1,0,0,1,0,0,0,0,0,1,0,0
4050.0,6.0,3.0,1.0,5100000.0,0,0,0,1,0,0,0,0,0,1,1,1
4900.0,1.0,1.0,1.0,1000000.0,0,1,0,1,0,0,0,0,0,1,0,0
450.0,2.0,1.0,1.0,1950000.0,1,0,0,0,1,0,0,0,0,1,0,0
585.0,3.0,2.0,0.0,35000000.0,1,0,0,0,1,0,0,0,0,1,0,0
630.0,1.0,2.0,1.0,4500000.0,0,1,0,0,1,0,0,0,0,1,1,0
324.0,6.0,3.0,1.0,8700000.0,0,0,0,0,1,0,0,0,0,1,1,1
360.0,2.0,1.0,1.0,1550000.0,0,1,0,0,1,0,0,0,0,1,0,1
